Year,Region,School,School_Key,Measure_Code,Measure_Name,min,max,mean,count,Subgroup_Gap
2026,IN,Indiana Math and Science Academy - North,INDIANA MATH AND SCIENCE ACADEMY NORTH,clar,Course Clarity,30,30,30,1,0
2026,IN,Indiana Math and Science Academy - North,INDIANA MATH AND SCIENCE ACADEMY NORTH,engg,Academic Engagement,38,38,38,1,0
2026,IN,Indiana Math and Science Academy - North,INDIANA MATH AND SCIENCE ACADEMY NORTH,engl,English Instruction,46,46,46,1,0
2026,IN,Indiana Math and Science Academy - North,INDIANA MATH AND SCIENCE ACADEMY NORTH,humr,Human & Social Resources in the Community,37,37,37,1,0
2026,DC,Horizon Science Academy - Dayton Elementary,HORIZON SCIENCE ACADEMY DAYTON ELEMENTARY,trts,Student-Teacher Trust,3,3,3,1,0
2026,IN,Indiana Math and Science Academy - West,INDIANA MATH AND SCIENCE ACADEMY WEST,peer,Student Peer Relationships,41,41,41,1,0
2026,IN,Indiana Math and Science Academy - West,INDIANA MATH AND SCIENCE ACADEMY WEST,math,Math Instruction,52,52,52,1,0
2026,IN,Indiana Math and Science Academy - West,INDIANA MATH AND SCIENCE ACADEMY WEST,humr,Human & Social Resources in the Community,28,28,28,1,0
2026,IN,Indiana Math and Science Academy - West,INDIANA MATH AND SCIENCE ACADEMY WEST,engl,English Instruction,37,37,37,1,0
2026,IN,Indiana Math and Science Academy - West,INDIANA MATH AND SCIENCE ACADEMY WEST,engg,Academic Engagement,53,53,53,1,0
2026,IN,Indiana Math and Science Academy - West,INDIANA MATH AND SCIENCE ACADEMY WEST,clar,Course Clarity,38,38,38,1,0
2026,IN,Indiana Math and Science Academy - West,INDIANA MATH AND SCIENCE ACADEMY WEST,acno,Peer Support for Academic Work,46,46,46,1,0
2026,IN,Indiana Math and Science Academy - North,INDIANA MATH AND SCIENCE ACADEMY NORTH,math,Math Instruction,36,36,36,1,0
2026,IN,Indiana Math and Science Academy - North,INDIANA MATH AND SCIENCE ACADEMY NORTH,stdy,Rigorous Study Habits,33,33,33,1,0
2026,IN,Indiana Math and Science Academy - North,INDIANA MATH AND SCIENCE ACADEMY NORTH,scie,Inquiry-Based Science Instruction,48,48,48,1,0
2026,IN,Indiana Math and Science Academy - North,INDIANA MATH AND SCIENCE ACADEMY NORTH,safe1,Safety,34,34,34,1,0
2026,IN,Indiana Math and Science Academy - North,INDIANA MATH AND SCIENCE ACADEMY NORTH,rigr,Classroom Rigor,30,30,30,1,0
2026,IN,Indiana Math and Science Academy - North,INDIANA MATH AND SCIENCE ACADEMY NORTH,prs2,Parent Supportiveness,37,37,37,1,0
2026,IN,Indiana Math and Science Academy - North,INDIANA MATH AND SCIENCE ACADEMY NORTH,pres,Academic Press,36,36,36,1,0
2026,IN,Indiana Math and Science Academy - North,INDIANA MATH AND SCIENCE ACADEMY NORTH,perc,Academic Personalism,28,28,28,1,0
2026,IN,Indiana Math and Science Academy - North,INDIANA MATH AND SCIENCE ACADEMY NORTH,peer,Student Peer Relationships,29,29,29,1,0
2026,IN,Indiana Math and Science Academy - North,INDIANA MATH AND SCIENCE ACADEMY NORTH,trts,Student-Teacher Trust,25,25,25,1,0
2026,Columbus,Horizon Science Academy - Columbus Middle,HORIZON SCIENCE ACADEMY COLUMBUS MIDDLE,engl,English Instruction,53,53,53,1,0
2026,DC,Horizon Science Academy - Dayton Elementary,HORIZON SCIENCE ACADEMY DAYTON ELEMENTARY,stdy,Rigorous Study Habits,37,37,37,1,0
2026,DC,Horizon Science Academy - Dayton Elementary,HORIZON SCIENCE ACADEMY DAYTON ELEMENTARY,safe1,Safety,7,7,7,1,0
2026,DC,Horizon Science Academy - Dayton Elementary,HORIZON SCIENCE ACADEMY DAYTON ELEMENTARY,rigr,Classroom Rigor,29,29,29,1,0
2026,DC,Horizon Science Academy - Dayton Elementary,HORIZON SCIENCE ACADEMY DAYTON ELEMENTARY,pres,Academic Press,57,57,57,1,0
2026,DC,Horizon Science Academy - Dayton Elementary,HORIZON SCIENCE ACADEMY DAYTON ELEMENTARY,perc,Academic Personalism,17,17,17,1,0
2026,DC,Horizon Science Academy - Dayton Elementary,HORIZON SCIENCE ACADEMY DAYTON ELEMENTARY,peer,Student Peer Relationships,18,18,18,1,0
2026,IA,Horizon Science Academy - Des Moines,HORIZON SCIENCE ACADEMY DES MOINES,acno,Peer Support for Academic Work,1,1,1,1,0
2026,DC,Horizon Science Academy - Dayton Elementary,HORIZON SCIENCE ACADEMY DAYTON ELEMENTARY,engl,English Instruction,50,50,50,1,0
2026,DC,Horizon Science Academy - Dayton Elementary,HORIZON SCIENCE ACADEMY DAYTON ELEMENTARY,engg,Academic Engagement,39,39,39,1,0
2026,DC,Horizon Science Academy - Dayton Elementary,HORIZON SCIENCE ACADEMY DAYTON ELEMENTARY,acno,Peer Support for Academic Work,39,39,39,1,0
2026,DC,Horizon Science Academy - Dayton Downtown,HORIZON SCIENCE ACADEMY DAYTON DOWNTOWN,trts,Student-Teacher Trust,4,4,4,1,0
2026,DC,Horizon Science Academy - Dayton Downtown,HORIZON SCIENCE ACADEMY DAYTON DOWNTOWN,stdy,Rigorous Study Habits,20,20,20,1,0
2026,DC,Horizon Science Academy - Dayton Downtown,HORIZON SCIENCE ACADEMY DAYTON DOWNTOWN,scie,Inquiry-Based Science Instruction,33,33,33,1,0
2026,DC,Horizon Science Academy - Dayton Downtown,HORIZON SCIENCE ACADEMY DAYTON DOWNTOWN,safe1,Safety,16,16,16,1,0
2026,DC,Horizon Science Academy - Dayton Downtown,HORIZON SCIENCE ACADEMY DAYTON DOWNTOWN,rigr,Classroom Rigor,8,8,8,1,0
2026,DC,Horizon Science Academy - Dayton Elementary,HORIZON SCIENCE ACADEMY DAYTON ELEMENTARY,math,Math Instruction,55,55,55,1,0
2026,DC,Horizon Science Academy - Dayton High,HORIZON SCIENCE ACADEMY DAYTON HIGH,trts,Student-Teacher Trust,42,42,42,1,0
2026,DC,Horizon Science Academy - Dayton High,HORIZON SCIENCE ACADEMY DAYTON HIGH,stdy,Rigorous Study Habits,55,55,55,1,0
2026,DC,Horizon Science Academy - Dayton High,HORIZON SCIENCE ACADEMY DAYTON HIGH,slap,School-Wide Future Orientation,57,57,57,1,0
2026,DC,Horizon Science Academy - Dayton High,HORIZON SCIENCE ACADEMY DAYTON HIGH,scie,Inquiry-Based Science Instruction,58,58,58,1,0
2026,DC,Horizon Science Academy - Dayton High,HORIZON SCIENCE ACADEMY DAYTON HIGH,safe1,Safety,40,40,40,1,0
2026,DC,Horizon Science Academy - Dayton High,HORIZON SCIENCE ACADEMY DAYTON HIGH,rigr,Classroom Rigor,63,63,63,1,0
2026,DC,Horizon Science Academy - Dayton High,HORIZON SCIENCE ACADEMY DAYTON HIGH,prs2,Parent Supportiveness,40,40,40,1,0
